AgeMonths,RelativeDeviation,FeedsStdDev,PctDaysOutOfRange,Label
18,-1.46724,0.924143,0.48183,Warning
18,-0.644919,0.909854,0.431883,Normal
1,0.788786,1.2017,0,Normal
22,-3,1.31862,1,Critical
0,0.225166,0.543734,0.0077461,Normal
15,0.958834,0.40853,0.108214,Normal
15,-1.98342,0.90935,0.174955,Normal
14,3.04337,0.266566,1,Critical
19,-0.336936,0.788729,0.19079,Normal
18,-0.292798,0.70871,0.0419664,Normal
15,0.905248,0.340242,0.469131,Normal
8,0.0109289,0.15212,0.208624,Normal
21,2.68787,0.25634,0.609888,Warning
21,1.04152,1.14694,1,Warning
5,0.375156,0.857225,0.601596,Normal
20,-1.08278,0.726546,0.721588,Warning
9,-3,0.653712,0.727221,Warning
15,0.112785,0.288807,0.734823,Normal
18,-0.0329902,0.241631,0,Normal
5,2.32487,0.247,1,Critical
16,-0.398255,0.258695,0.18094,Normal
13,1.42203,1.45516,0.962431,Critical
21,0.116104,1.35882,0,Normal
4,-3.35145,0.656386,0.802502,Warning
12,2.69019,0.395601,0.353422,Warning
16,0.732199,1.18446,0.460304,Normal
13,1.57941,0.763393,0.600414,Warning
10,0.638355,0,0.286892,Normal
10,-2.35348,0.751478,0.829543,Warning
11,2.0071,0.642987,1,Critical
0,0.497252,0.358039,0.352691,Normal
7,-0.22271,1.06935,0,Normal
1,3.03273,0.726489,0.431827,Normal
23,0.210907,0.372686,0.407074,Normal
17,0.56771,0.390764,0.0945727,Normal
7,1.22178,0.647994,0.892556,Normal
14,-3,0.140895,1,Critical
4,0.23271,0.934921,0.44112,Normal
1,0.378642,0.699534,0.404454,Normal
3,3.10937,0.217635,0.884444,Warning
21,-0.22316,0.607448,0.345215,Normal
19,-1.07893,0.287408,0.870702,Warning
21,-0.653586,0.889232,0.419644,Normal
23,-0.358565,0.715384,0.14151,Normal
12,3.72522,0,0.92824,Critical
8,0.0722732,0.537258,0.41163,Normal
1,1.39412,0.384524,0.538293,Normal
23,-1.34375,0.612722,0.881767,Warning
1,2.7114,0.0493811,0.790338,Warning
9,-0.05254,0.230101,0.197997,Normal
17,2.76048,0.0966563,1,Critical
4,3.935,0.844053,0.829502,Warning
19,0.859354,0.529941,1,Warning
20,0.0674185,0.311501,0.466888,Normal
17,-2.10862,0.664629,0.524283,Normal
5,0.985485,0.532873,0.55375,Normal
12,0.931466,0.724266,0.405759,Normal
22,-0.414839,1.58234,0.295316,Normal
5,-1.06344,0.345714,0.45138,Normal
17,-1.41354,0.37448,0.815701,Warning
13,-2.81257,1.33482,0.301547,Normal
18,0.39171,0.325253,0,Normal
23,1.53977,0.954777,1,Critical
22,0.914989,0.998626,0.237085,Normal
14,-0.888441,0.795344,0,Normal
6,0.00199581,0.415172,0.500762,Normal
2,-2.95498,1.07047,0.32787,Normal
15,0.393586,0.104991,0.827881,Normal
10,-1.40368,1.20787,0.840628,Warning
0,-0.756177,0,0.504955,Normal
11,-2.07013,0.0982082,0.572768,Normal
1,-0.477031,0.581599,0.147141,Normal
0,-0.965394,0.266481,0.27063,Normal
9,-0.206163,0.567001,0.422483,Normal
7,0.975874,0.780636,0,Normal
20,-0.136235,0.473719,0.634396,Normal
18,0.387479,0.23103,0,Normal
20,1.82171,0.139731,0.868463,Warning
20,-0.550537,0.645363,0.636477,Warning
22,0.972006,0.322392,0.753592,Warning
9,-0.414901,0.561992,0.381378,Normal
20,-0.0900979,0.245842,0,Normal
21,0.317378,0.123639,0,Normal
6,-1.08942,0.965809,0.484948,Normal
19,-1.08282,0.580239,1,Warning
1,2.11542,0.813477,0.895404,Warning
10,0.27128,1.05768,0.374542,Normal
21,1.46707,0.265966,0.423009,Normal
0,0.141356,1.07644,0.026811,Normal
4,0.00312243,0.683967,0,Normal
2,-0.690125,0.487824,0,Normal
13,-2.7224,0.399058,0.784147,Warning
19,-0.892655,1.08342,0.725099,Warning
23,-0.253323,0,0.423564,Normal
2,2.75265,0.702073,0.766487,Warning
23,-3,0,0.526267,Normal
12,1.01743,0.406957,0.574834,Normal
20,-0.347985,0,0.458513,Normal
17,0.265531,0.692273,0.618347,Normal
11,2.68909,0.901722,0.733823,Warning
6,-0.182059,0.019674,0.334401,Normal
8,0.801556,0.49271,0.179657,Normal
7,0.284298,0.669667,0.439484,Normal
1,-0.176711,0.722333,0.616525,Normal
20,2.6184,0,0.942953,Critical
7,1.62717,0,1,Critical
3,-3.83274,0.60955,0.792208,Warning
11,0.173956,1.03288,0,Normal
16,-0.423458,0.61488,0,Normal
3,-3.24267,0,0.502246,Normal
7,-0.403802,0.775714,0.44135,Normal
3,-1.57465,0.506657,0.627729,Warning
13,-0.524976,0.426973,0.453005,Normal
4,-0.05008,0.996796,0.200243,Normal
12,-0.160182,0.347483,0.228259,Normal
12,-0.96209,0.277144,0.121296,Normal
1,-0.190089,0.91538,0.243209,Normal
8,-0.710877,0.2407,0.443139,Normal
17,2.36938,0.718289,0.808435,Warning
4,-0.454073,0.790802,0.151871,Normal
6,-1.01357,0.93142,0.840779,Warning
1,-3.96624,0.757078,0.656214,Warning
1,0.659341,0.60573,0.381817,Normal
15,-0.255341,0.496321,0.411036,Normal
5,-1.41186,0.309815,0.626627,Warning
12,-0.386437,0,0.447918,Normal
11,-0.854866,0.709809,0.975442,Warning
2,-2.09364,1.12297,0.49085,Normal
14,-2.18602,0.804515,0.989025,Critical
20,-2.6152,0.280734,1,Critical
12,1.08478,0.838967,0.768724,Warning
3,-2.69365,0.620617,0.52798,Normal
3,1.06642,0.6451,0.633386,Warning
12,2.33341,0.430768,0.414061,Normal
13,-2.08995,0.587812,0.750714,Warning
20,2.48597,0.394451,0.95108,Critical
4,-0.371811,0.982137,0.166057,Normal
5,0.0769709,0.222127,0.353881,Normal
20,3.25435,0.729643,0.572656,Normal
6,-0.935014,0.799054,0.550273,Normal
8,0.222698,1.15776,0.172651,Normal
2,-3.29814,0.735922,0.970446,Critical
10,-1.28972,0.257557,0.765045,Warning
10,-2.44624,0.266167,1,Critical
0,0.370675,0.800922,0.217785,Normal
1,-0.173462,0,0.706515,Normal
5,1.8467,0.221302,0.651321,Warning
19,0.429147,0.488666,0.00036067,Normal
22,2.28115,0,1,Critical
5,0.677194,0.264447,0.0263811,Normal
21,-0.284472,0.764122,0.221406,Normal
20,1.21733,0.239545,0.682636,Warning
11,-3,0.584598,0.628354,Warning
1,0.0278386,0.775539,0.250566,Normal
20,-2.71623,0.937544,0.236323,Normal
2,-0.284723,0.509088,0.516533,Normal
6,-2.54365,1.15562,0.869068,Warning
18,-0.0544215,1.01744,0.166782,Normal
11,-1.48623,0.0776876,0.752205,Warning
6,-0.198875,0.632052,0.372763,Normal
13,-0.0713499,0.090638,0.438897,Normal
4,-0.854607,0.538853,0.169301,Normal
7,-2.28763,0.570928,1,Critical
16,1.25871,1.23065,0.679134,Warning
8,-2.6133,0.28248,0.902532,Critical
23,-0.715316,0.0576782,0.246113,Normal
20,2.09601,0.412099,0.944302,Critical
1,1.41493,0.689364,0.614153,Warning
13,-0.015037,0,0,Normal
18,-0.725187,0.145122,0.215154,Normal
11,-2.95525,0.625971,0.737647,Warning
4,-0.408162,0.771108,0.488466,Normal
20,0.284847,0.305572,0.213182,Normal
8,-0.530265,0,0.161177,Normal
23,0.530541,1.29227,0.163686,Normal
16,1.58061,0.714031,0.641009,Warning
21,-3,1.12455,0.933793,Critical
9,-1.81683,0.985189,1,Critical
18,-0.206344,1.30054,0.423135,Normal
23,-2.0038,0.601384,1,Warning
21,-1.55354,0.0244084,0.881935,Warning
8,-0.219921,0,0,Normal
3,-0.096094,1.16891,0.226339,Normal
9,2.91345,0.924726,0.380824,Normal
9,-0.183503,0.192876,0.673883,Normal
19,0.187066,0.495443,0.231256,Normal
3,0.18362,0.301604,0.0476737,Normal
23,-1.11569,0.499207,0.135107,Normal
13,-2.60761,0.372201,1,Critical
5,-0.439083,0.620012,0.245762,Normal
9,0.846628,0.922763,0.63908,Warning
5,-1.24743,0.458826,0.445303,Normal
4,0.651148,0.245193,0,Normal
0,-1.32889,0.908271,1,Warning
10,-0.81427,0.822779,0.10995,Normal
22,2.48313,0.371221,0.960134,Critical
23,-1.80194,0.79008,0.743634,Warning
13,-0.488098,1.00787,0.274083,Normal
15,-2.11239,0.476922,0.620457,Warning
7,-0.313096,0.0850341,0,Normal
12,1.0491,0.127442,0.502793,Normal
2,1.25189,0.47846,0.698459,Warning
23,1.96245,0.23609,0.638942,Warning
9,-0.816552,1.06267,0.0104836,Normal
17,-2.12698,0,0.829143,Warning
4,3.20609,0.327921,0.696118,Warning
6,-0.890189,0.442868,0.420471,Normal
4,0.00621318,0.410657,0.117819,Normal
3,0.244147,0.399404,0.0520026,Normal
20,2.32689,0.542494,0.429155,Normal
15,0.552201,0.277139,0.285348,Normal
7,-0.892506,0.521238,0.249893,Normal
15,-2.42367,0.850027,1,Critical
17,0.105879,0.432471,0.117402,Normal
8,-0.80894,0.0533373,0.296268,Normal
10,0.919083,0.267187,0.0437841,Normal
19,-0.748904,1.2872,0.44457,Normal
17,0.0698443,0.205214,0.713577,Normal
22,2.41917,0.84389,0.232922,Normal
1,1.80684,0.603284,0.570913,Normal
23,-2.47998,0.822157,0.809979,Warning
15,0.222771,0.620976,0.256802,Normal
4,-2.69955,0.8734,0.647512,Warning
1,2.82129,0.401461,1,Critical
9,-2.4221,0.466798,0.61793,Warning
11,-0.833802,0.918418,0.301678,Normal
19,-0.41343,0.699377,0.0975221,Normal
19,-2.98324,0.929543,1,Critical
20,-0.018966,1.18142,0.141368,Normal
9,-0.32674,0.448934,0,Normal
12,-1.87082,0.679247,0.806032,Warning
13,-2.82225,0.362877,0.650454,Warning
1,-2.19163,0.631519,0.683958,Warning
3,0.17473,0.504584,0.411,Normal
18,-0.484591,0.452814,0.0117434,Normal
0,1.43562,0.0544256,1,Critical
13,2.97241,0.303111,0.857903,Warning
11,2.99941,1.01966,0.806655,Warning
12,-0.962664,0.308436,0,Normal
21,0.301156,0,0.0535259,Normal
10,2.37822,0.839189,0.639918,Warning
2,-0.4285,0.654742,0.0108665,Normal
7,1.62771,0.467311,0.590546,Normal
12,-0.10088,1.05257,0.154879,Normal
0,3.74149,0.512989,0.259895,Normal
1,-2.46098,0.512095,0.516567,Normal
18,-0.277708,0.620318,0.197637,Normal
5,-2.10184,0.765824,0.508544,Normal
9,0.170298,1.15412,0.192063,Normal
13,-0.613829,0.742288,0.274552,Normal
3,3.97972,0.848983,0.628235,Warning
14,0.00545509,0.812096,0,Normal
9,0.368832,0.713241,0.619605,Normal
8,0.709795,0.961101,0.476365,Normal
20,-0.574325,0.626655,0.596046,Normal
7,-2.34729,0.544063,0.936656,Critical
7,1.72641,0.690733,0.595712,Normal
10,-2.59341,1.25797,0.597753,Normal
13,0.925105,0.815859,0,Normal
23,-0.0840627,0,0.110859,Normal
11,0.970184,0.656107,0.203808,Normal
5,0.189921,0.273723,0.0342537,Normal
9,-1.86286,1.41452,0.885178,Warning
15,-1.27249,0.434331,0.700145,Warning
4,0.360159,0.373583,0.203289,Normal
13,0.890924,0.0597608,0.352667,Normal
18,-3,0.0787579,0.809822,Warning
21,-0.0992151,0.300828,0.344221,Normal
10,0.98509,0.556339,0.245613,Normal
22,0.432901,0.591315,0.657712,Warning
16,0.38711,0.365657,0,Normal
13,-2.79639,0.848327,0.424616,Normal
6,-4,1.13723,0.641344,Warning
20,0.16978,0.683685,0.286996,Normal
21,-3,0.0303055,0.73002,Warning
16,0.158487,0.784637,0.0938618,Normal
13,-3,0.378244,0.888233,Warning
6,2.39974,0.831141,0.920544,Critical
12,-1.80701,0.928399,0.624372,Warning
6,1.10431,1.49963,1,Warning
14,-2.19445,1.37044,0.519514,Normal
