AgeMonths,RelativeDeviation,StdDevMinutes,PctDaysOutOfRange,Direction,Label
7,0.19743,22.3776,0,1,Normal
12,2.23886,4.68849,1,1,Warning
5,0.0124504,36.8435,0.0283412,1,Normal
7,0.270152,39.096,0.456042,1,Normal
19,-0.0774626,18.3047,0.140821,-1,Normal
18,0.350679,5.17641,0,1,Normal
16,1.80132,20.475,0.451888,1,Normal
9,0.315363,64.6211,0.534266,1,Normal
2,1.34343,30.0465,0.49715,1,Normal
16,-2.33358,36.314,0.874142,-1,Warning
3,-1.92322,31.8919,0.586804,-1,Normal
23,-0.0482293,51.807,0,-1,Normal
19,-3.28142,30.7801,0.6358,-1,Warning
16,-2.08894,50.9443,0.837001,-1,Warning
3,2.26579,39.7155,1,1,Warning
12,-0.602274,24.082,0.701644,-1,Warning
14,1.93642,38.7368,0.286625,1,Normal
19,-2.81754,38.4212,0.599061,-1,Normal
2,2.9446,50.0969,0.876696,1,Normal
0,-1.11717,21.1733,0.861746,-1,Warning
10,-2.33367,58.6866,0.822778,-1,Warning
7,-0.332408,8.13146,0.686205,-1,Warning
7,0.125095,61.7929,0.0618619,1,Normal
22,2.85361,41.3958,0.501404,1,Normal
15,0.661827,53.1806,0.255347,1,Normal
23,0.190242,45.7591,0.226386,1,Normal
2,-0.564052,49.7643,0.413485,-1,Normal
3,2.57738,41.3207,0.605071,1,Normal
4,-1.21017,39.9446,0.766778,-1,Warning
14,-0.812173,28.0632,0.108415,-1,Normal
6,-0.869286,42.2283,0.283135,-1,Normal
15,0.39987,81.546,0.110268,1,Normal
22,2.14988,27.2628,0.665558,1,Normal
11,0.0100287,59.0126,0.436927,1,Normal
21,-2.5944,34.3074,0.801978,-1,Warning
9,-0.16276,52.2861,0.246579,-1,Normal
0,-0.690488,31.2128,0,-1,Normal
6,0.965321,44.7593,0.36948,1,Normal
21,-2.55087,23.9976,0.375992,-1,Normal
21,-0.618366,21.9744,0,-1,Normal
13,0.346579,38.6344,0.25807,1,Normal
18,-0.109499,35.1277,0.313866,-1,Normal
21,-2.19765,35.644,0.843902,-1,Warning
20,3.36747,47.3735,0.625552,1,Normal
14,-1.67378,8.28897,1,-1,Warning
17,0.534309,0,0.528,1,Normal
0,-0.818243,35.1396,0.569166,-1,Normal
7,-1.34082,54.5855,0.954016,-1,Warning
12,0.552364,13.4304,0.0354099,1,Warning
2,1.45924,48.4514,0.8195,1,Normal
8,1.1445,46.8347,0.906439,1,Normal
4,-4.15402,47.424,0.766132,-1,Warning
14,-0.219937,28.71,0.205447,-1,Normal
21,0.77259,0,0.674655,1,Normal
21,-2.51058,37.4889,0.772558,-1,Warning
6,1.95638,22.5848,0.904165,1,Warning
8,-1.44583,0,0.965907,-1,Warning
13,0.847733,67.5696,0.369277,1,Normal
7,0.286513,35.9167,0.663359,1,Normal
17,-3.03538,17.942,0.855759,-1,Normal
20,-0.278457,26.6109,0,-1,Normal
8,-1.25304,0,0.747001,-1,Normal
20,-0.422714,39.5256,0.120917,-1,Normal
11,-0.750313,37.0343,0.408715,-1,Normal
20,-1.3451,41.3909,0.858313,-1,Warning
2,1.30816,18.7172,0.724741,1,Normal
3,-0.340106,43.8118,0.493265,-1,Normal
23,-0.592067,40.1708,0.251623,-1,Normal
1,-0.268004,60.7247,0.433103,-1,Normal
16,0.656767,58.1694,0,1,Normal
20,2.44749,30.5208,0.945525,1,Warning
9,0.99028,50.3258,0.492202,1,Normal
10,0.492626,55.0842,0.729607,1,Normal
1,0.95342,44.957,0.557128,1,Normal
12,-0.493443,22.3873,0,-1,Normal
18,0.826475,31.0494,0,1,Normal
5,-0.476725,33.9468,0.305979,-1,Normal
22,-0.845112,34.8846,0.424486,-1,Warning
9,1.39671,27.7783,0.519717,1,Normal
2,-2.78721,44.8276,0.901114,-1,Warning
7,-0.0854796,32.4097,0.0853316,-1,Normal
6,-0.256115,37.7707,0.382439,-1,Normal
12,-2.21671,34.3832,0.976109,-1,Warning
2,2.6502,53.2665,1,1,Warning
9,-0.0978344,26.4719,0.246107,-1,Normal
15,0.745785,12.4445,0,1,Normal
9,0.131771,39.0971,0.229371,1,Normal
10,-0.243747,21.6205,0.698398,-1,Normal
16,-1.8668,29.0669,0.648917,-1,Warning
16,0.860667,2.36335,0.394277,1,Normal
5,-0.44366,32.6927,0,-1,Normal
3,-0.807555,14.7524,0.366631,-1,Normal
12,0.556989,69.2666,0.188573,1,Normal
5,0.0983334,26.766,0.0189703,1,Normal
17,0.050628,13.5319,0.487214,1,Normal
8,0.261661,45.0724,0.116816,1,Normal
4,-1.74994,28.1061,0.842142,-1,Warning
12,3.58834,46.9711,0.497796,1,Normal
14,0.654356,32.407,0,1,Normal
14,-1.05742,19.3064,0.779731,-1,Warning
5,1.25023,17.8775,0.561605,1,Normal
3,-0.180121,62.3778,0.220786,-1,Warning
14,-0.857256,71.6156,0.186978,-1,Normal
14,1.80036,44.8787,0.48574,1,Normal
22,-0.692724,51.5907,0.403563,-1,Normal
16,-1.77326,0.0602094,0.745838,-1,Normal
15,-2.23069,41.5922,0.705644,-1,Warning
19,-0.442277,36.2054,0,-1,Normal
4,0.8151,54.014,0,1,Normal
6,-3.44898,44.1202,0.797824,-1,Warning
21,0.178396,14.8626,0.531331,1,Normal
19,0.973236,23.123,0,1,Normal
13,-3.02506,0,0.818274,-1,Warning
